"","video_id","diputado","fuerza_politica","link","text"
"1","-PbC_5En8gU","Iglesias, Fernando Adolfo","PRO","youtube.com/watch?v=-PbC_5En8gU","tiene la palabra a continuación el diputado Fernando Iglesias por el bloque Pro Gracias presidente un diputado amigo se preguntaba qué estamos discutiendo y qué no estamos discutiendo No estamos discutiendo el valor ni la continuidad de la universidad pública no hay ningún plan de desmantelamiento mienten mienten Sí señor diputado mienten los que dicen eso y mienten sin pruebas lo que estamos discutiendo es la plata el dinero los recursos la caja la guita los morlacos la vuya nos acordamos la educación cuando tocan las cajas y la vuya y lo hacemos en defensa de la educación pública Mire yo vi destruir la educación pública Argentina el drama de la educación pública Argentina no está en la universidad está en la primaria y está en la secundaria discutimos eso contemos las horas que llevamos discutiendo el presupuesto universitario contra las horas que venimos discutiendo la educación pública primaria y secundaria donde se educan los más vulnerables mentira que estamos discutiendo la educación pública estamos discutiendo la guita la vuya saben Cuántos son los argentinos pobres que se que se educan en las universidades públicas el 10% son el 40% en las escuelas primarias el 36 por en las escuelas secundarias discutimos el presupuesto de la educación primaria y secundaria no el de la 10% 10% de los estudiantes vien de la universidad vienen de hogares pobres y Con qué se financian con un esquema con un esquema tributario Injusto y regresivo que nos dejaron los campeones de la justicia social después de cuatro gobiernos en donde casi todo se paga con la guita de las empresas productivas y con el IVA de la polenta hipócritas no mentiros mentirosos e hipócritas digamos la verdad los que egresan de las universidades públicas argentinas son en su mayaría graduado se graduaron en la secundaria privada pagando aranceles y aranceles altos no ponen un peso en aranceles para la educación pública 10% son pobres mucho menos de la mitad son los que se reciben a esos es lo que hay que financiar si de verdad son progresistas eso es lo que no se discute el modelo fracasado de esta universidad pública la mitad Cuando hacemos la cuenta de la cantidad de argentinos que tienen diplomas universitarios es la mitad que en chile y la mitad que en Brasil y los acusamos de neoliberales hipócritas la mitad Con el IVA de la polenta y sacamos la mitad y los que los que entran los que se gradúan en Argentina el éxito universitario es la mitad que en Brasil y que en chile y seguimos mintiendo porque defendemos este modelo fracasado en nombre de lo que debe ser En nombre del ascenso social cuál ascenso social me causa gracia la señora crisa Fernández de diciendo que viene de la universidad pública y le fue bien Claro claro a mí también normal de avellaneda Instituto Nacional de Educación Física Instituto Nacional de deportes Universidad de Lomas de sabora universidad de boloña todas estatales y con eso qué rompieron eso a mi generación cuando Yo estudié había ascenso social lo rompieron y lo rompió el peronismo con la complicidad de los que no fueron oposición cuando debieron serlo Así que mentira lo del ascenso social Debería ser pero no es era pero no es no defiendan Este modelo fracasado en nombre de lo que debería ser ni de lo que fue universidad al Servicio del pueblo me dicen Qué servicio del pueblo tres abogados y contadores por cada ingeniero al revés que en Chile los neoliberales caraduras acá lo único que se discute es el equilibrio fiscal y lo quieren romper lo quiere romper el el club del helicóptero porque sabe que es el núcleo del plan de este gobierno y la única forma que tenemos de tener una universidad pública con buenos salarios es tener un país que crezca y eso es lo que rompieron durante 20 años rompieron el equilibrio fiscal y así no fue por eso todos los países de latinoamérica mejoraron bajaron la inflación mejoraron el pbi Per capita mejoraron la salud y la educación Todos Menos nosotros y Venezuela Y eso es lo que está defendiendo acá el peronismo y los que sufren el síndrome de estocolmo saben y lo estamos discutiendo un país que tienen termino estamos discutiendo en un país que tiene más del 50% de sus habitantes en la pobreza saben Cuándo fue la primera vez que pasó en la Argentina Acá está diario de una temporada en el quinto piso se lo recomendé al diputado Loredo que parece que no lo leyó dice 0,14 por un poquito de acá 0,40 por. Sabes lo que dice este libro mi única coincidencia con Cristina Fernández CR que ella recomendó que leeran este libro lean este libro es un miembro del equipo económico de Sur ruil se acuerdan del plan austral arrancó con una inflación mensual del 25% y en un mes dos meses estaba en el 3% le suena 25% 3% le suena sa saben cómo lo rompieron con excelentes razones excelentes razones iban alfonsin y decían presidente la franja morada los profesores universitarios 014 bueno presidente los salarios de los estatales c coma tanto por c presidente los militares si no nos van a dar el golpe c coma no sé cuá por cento y cero de acá y cero sabe cómo terminó esto terminó en la hiperinflación así terminó inflación terminaron los profesores universitarios los profesores los jubilados los asalariados y fue la primera vez que la Argentina que la Argentina Tuvo más de 50% de la población en la pobreza le radicales correligionarios lean de su propia experiencia y me parece muy bien Que sigan reivindicando el legado político del doctor alfonsín es hora también de que hagan una autocrítica de sus políticas económicas gracias señora presidenta s"
"2","0hlAJBKAW8Q","Espert, José Luis","LLA","youtube.com/watch?v=0hlAJBKAW8Q","[Aplausos] tiene la palabra a continuación el diputado eser previamente les comunico que es el penúltimo orador después el diputado esper hablar la diputada Juliana Santillán y procederemos a votar en el día de la fecha Así que vayan acercándose Quienes se encuentran en el bajo recinto Muchas gracias adelante diputado esper Gracias señor presidente la educación Universitaria pública no está en peligro no tengan miedo Es ridículo pensar que un gobierno que estuvo detrás de la sanción de la educación básica como servicio estratégico esencial el gobierno el presidente Javier Miley está detrás de la destrucción de la educación Universitaria pública falso de toda falsedad lo que sí queremos es cada vez mejores profesores cada vez mejores graduados universitarios cada vez mejores investigaciones eso es lo que queremos lo que no queremos son curros que se hagan detrás de las universidades con el dinero de todos los contribuyentes muchos de ellos pobres que no estudian o no van a poder estudiar Lamentablemente y en eso sí los legisladores deberíamos estar preocupados el gobierno el presidente Miley este año va a gastar en la educación Universitaria 3.5 billon casi 3000 millones de d y eso destruir la educación pública no sean ridículos no sean ridículos eso es más del 100% con respecto a lo que se gastó el año pasado en materia Universitaria se ha aumentado los gastos de funcionamiento 270 por está muy lejos eso de significar la destrucción de la educación Universitaria todo lo contrario educación Universitaria queremos Educación Pública pero cada vez con mayor calidad y menos curro la educación Universitaria no está en peligro pero si tenemos algunos problemas nombro algunos de ellos heredamos un sistema educativo básico destruido donde la mitad de Los chicos secundari no lo terminan % de los estudiantes universitarios tardan casi 10 años en terminar carreras que se podrían terminar en cinco solo cuatro de 10 estudiantes son regulares O sea que han aprobado dos materias o más una vergüenza solo el 12,4 de los jóvenes más pobres van a la universidad y menos de la mitad menos de la mitad termina la universidad Dónde está la universidad pública inclusiva algo tenemos que hacer con esto no será que algunos vivos Han inventado el curro de financiar con los pobres la universidad que se podrían pagar no seamos hipócritas Aunque Argentina tiene mayor cantidad de estudiantes universitarios que Chile la tasa de graduación de nuestra universidad es muchísimo más baja 40% más baja con mayor cantidad de estudiantes universitarios tenemos estudiantes universitarios crónicos no nos engañemos hipócritas con estos datos no hay duda que algo tenemos que hacer con la universidad ahora no nos engañemos como ya dijo un diputado preopinante este proyecto de ley no significa ningún cambio para la universidad sino significa discutir más presupuesto o menos presupuesto y yo le digo a los que han impulsado la sanción de este proyecto de ley es el presupuesto donde se discute el gasto Público de cada año no fuera el presupuesto con un proyecto amañado que encima indexa el gasto universitario el gasto público tiene que estar completamente tenga sentido el presupuesto si no dejemos de sancionar el presupuesto si todo el gasto va a estar indexado qué sentido tiene el presupuesto voy a un tema central que es lo que muchos reclamamos de acuerdo con la propia ley de educación superior las universidades además de ser financiadas por el gobierno nacional tienen que ser auditadas por el gobierno nacional a través del agn y a través de la cgen si de la el control interno del poder ejecutivo y debo decirles para aquellos que no se han dado cuenta que por ejemplo el informe más reciente que es una auditoría de gestión de la Universidad de Buenos Aires es del año 2006 y Es sobre el año 2004 hace 20 años que la universidad de Buenos Aires le debe a todos los argentinos una rendición de cuentas en particular aquellos argentinos que no pueden estudiar Porque son pobres este gobierno cumplió el el sueño de muchos argentinos que fue promover la educación como servicio esencial repito estamos muy lejos de querer terminar con la educación pública de hecho les voy a decir que yo soy egresado de grado de la universidad pública cuando graduarse en la universidad pública Universidad de Buenos Aires era un orgullo y no el kiosco en el cual se ha convertido hoy y eso es lo que queremos terminar por eso vetar esta ley es la obligación de un buen argentino Muchas gracias señor presidente Gracias diputado José Luis"
"3","2B6pLQ873jo","Osuna, Blanca Inés","UxP","youtube.com/watch?v=2B6pLQ873jo","[Aplausos] palabra Gracias presidente atrevido diputado por fa respetuoso por favor Le pido diputado Iglesias a ver creo presidente me des cuenta estas molestias por favor pero creo sí no le he puesto el tiempo diputada por favor diputado por favor ponga orden presidente diputado igles por favor adelante diputada tiene la palabra la verdad que la molestia la molestia que provocan las palabras del presidente de mi bloque en realidad tiene que ver con que señaló puso el dedo en algo que es álgido lo que Hoy estamos discutiendo acá la verdad que puede tener un resultado disímil Sí sí o no en ambos casos la el resultado va a tener legalidad en en cualquiera de los casos el impacto el impacto y los resultados van a ser absolutamente contrapuestos Y eso es importante que queden Claro porque en realidad presidente y colegas legisladores legisladoras acá se trata de entender que no podemos analizar debatir y votar en esta ley si no tenemos una mirada de su texto y del contexto que acá ha quedado claramente en evidencia acá hemos escuchado legisladores legisladoras que dicen que este no es un ámbito para discutir sal acá hemos escuchado legisladores legisladoras que plantean que acá se resolvió un tema salarial Mentira mentira la discusión salarial de los docentes y en particular de los docentes y no docentes de las universidades públicas argentinas se discute y se resuelve en las paritarias que tienen una ley respaldatoria pero más allá de eso es importante tener en claro que el gobierno recortó el 50% del gasto en educación Durante este año y que el gasto de la Secretaría de Educación se redujo en un 56 por de modo de qué hablan que las cosas están mejor gravemente están empeorando de manera acelerada en los primeros meses en los nu primeros meses de este año ao la caída comparada entre el año pasado y este y este año es de 48,6 por el programa desarrollo de la educación superior que es el programa más relevante que representa un 77 por del gasto global que tiene la Secretaría de Educación Tuvo una de casi el 50% el 99 de ese 99% de ese programa se compone por transferencias a las universidades y ahí están los programas de fortalecimiento de las actividades de extensión del fondo universitario para el desarrollo Regional del fortalecimiento de la ciencia y la técnica que trae consecuencias gravísimas para el desarrollo nacional los proyectos especiales el el financiamiento de los institutos tecnológicos todo eso está al borde de desaparecer si efectivamente no hay una respuesta hay hay muy hay datos que que en estos momentos estamos manejando porque se presentó el presupuesto nacional y ahí ya hay indicadores de que esta disminución presupuestaria va agravándose va in crecendo Y por supuesto también ahí ponemos en una mirada integral sobre lo que es el sistema educativo donde las universidades son una parte trascendente importante pero ahí están el fonit la infraestructura Y equipamiento de qué Jardines de infantes hablan si no han puesto un peso en esos jardines en innovación y desarrollo en fortalecimiento en conectar igualdad hay jóvenes hay niños niñas de nuestro país que hoy están privados de educarse mejor porque no cuentan con libros porque no van a tener el equipamiento correspondiente en las escuelas porque no va a haber un aula más entonces la verdad presidente yo creo acá han sucedido cosas llamativas eh de los 256 que somos verdad 57 Perdón 257 257 Acá hay un exministro entre nosotros ex ministro de Educación ex ministro de Educación docente universitario que no habló que no habló es llamativo es llamativo Por supuesto es muy llamativo mire presidente la verdad que el feroz ataque que está padeciendo la universidad pública nos avergüenza y creo Creo que de las 4900 carreras de grado que de los más de 2 millones y medio de estudiantes que se han acercado a nosotros que han planteado que nos han acercado notas yo voy a elegir algo y voy finalmente algo todas not acerca el movimiento de universitarios del con urbano de universidades es una condición indispensable para el futuro del país esta nota está dirigida a todos y todos la van a recibir si no la han recibido ya sin él no habrá desarrollo Innovación ni soberanía exido no haber defendido nuestras universidades por eso porque creemos en un desarrollo integral de nuestro país las universidades son condición necesaria hoy Esto presidente y lo último que digo Hoy estamos frente está faltando a la punta de un iceber hoy no se termina nada hoy no se termina nada y todos lo sabemos acá Gracias presidente Gracias diputada le pido por"
"4","7zQ7Hyxq7qk","Massot, Nicolás","EF","youtube.com/watch?v=7zQ7Hyxq7qk","reglamento mire presidente eh No estoy tranquilo estoy esperando que escuche porque me voy a dirigir a él presidente no es la primera vez en este año en su presidencia que por cuestiones de la dinámica de la dinámica [Música] que por cuestiones de la dinámica de esta cámara y de los debates haya alguna alteración al plan de labor tampoco va a ser la primera vez que para respetar el plan de labor decidamos votar mociones de orden y si resultan afirmativas las incorporaciones tratarlas al final tal vez esa pueda ser una solución presidente Usted lo ha hecho en sesiones en el pasado en su propia presidencia si quiere le escrib un mensaje de texto si lo va a leer desde el teléfono no tengo problema Estoy escuchando diputado puede hablar no parece no parece y va a tener que estoy escuchando diputado estoy cumpliendo con lo que nos hemos comprometido todos en la voz parlamentaria contin por favor Entonces no me está escuchando no me está escuchando Pues nosotros las mociones no atentan contra los planes de labor y el plan de labor se puede cumplir simplemente respetando las mociones que tenemos para hacer ahora votá y se ultan afirmativas y es una incorporación al temario por ejemplo que puede ser entonces las votamos al final lo que le pido presidente no está fácil el clima acá se viene una discusión extremadamente relevante para toda la nación Argentina que es una discusión que su propio gobierno nos privó de tener este año que es un presupuesto nos va a llevar mucho trabajo a hacerlo no es tiremos no tratemos de reescribir Desde esa banca que es de un primus interpares y usted no es el jefe de nadie un reglamento que está claro Entonces por favor tenga la prudencia de respetar las mociones hacerlas votar y en todo caso por supuesto respetemos el plan de labor y al final de las cuestiones de privilegio y de los homenajes puedan tratarse en el caso de resultar afirmativas le pido por favor que lo considere señor secretario puede leer por"
"5","9WbOaj2o2Tc","Picón Martínez","PyT","youtube.com/watch?v=9WbOaj2o2Tc","tiene la palabra a continuación la diputada por el bloque producción y trabajo San Juan Nancy picón Gracias señor presidente Bueno desde el bloque producción y trabajo creemos en que la educación es esencial para el desarrollo de una nación es por esto que en primer lugar repudiamos absolutamente la presencia en la marcha de quienes destruyeron la educación la presencia en la marcha de masa de Cristina Fernández de kisner haciéndose hoy dueños de una de un reclamo justo de un sector nada más y nada menos que el sector que es el futuro de nuestro país de los jóvenes es por esto que sabemos que hay que hacer un ajuste que este ajuste es necesario que es el ajuste que este presidente les dijo a cada uno de los argentinos en campaña Y que además votaron pero el ajuste no podemos hacerlo con la educación podemos hacerlo desde cualquier otro sector pero no con la educación que es el futuro del país no podemos haber votado Hace unos días la esencialidad en la educación y hoy dejar sin fondos a esa esencialidad no digo Tenemos que ser coherente con lo que venimos votando este bloque producción y trabajo desde San Juan siempre va a defender la universidad por varias razones y en mi caso particular porque soy alumna soy hija de la Universidad Nacional de San Juan con mucho orgullo fui docente en la misma universidad y yo sí puedo decir soy la madre del doctor quien Se recibió en la Universidad Nacional de Córdoba con todo lo que la universidad nos ha dado no solo a nivel familiar sino también en la provincia y nos sigue dando convencidos de que tenemos muchos lugares donde seguir trabajando para que existan los fondos muchos muchas partidas y que Próximamente estamos ahora hemos empezado a trabajar el presupuesto y este presupuesto empezará a regir en el 2025 si Dios quiere y se habrán los nuevos fondos para las universidades desde ese lugar hoy señor presidente el voto de San Juan va a ser a favor de de las universidades y de la educación pública Muchas gracias Gracias diputada picón"
"6","A-eweSyIoH0","Finocchiaro, Alejandro","PRO","youtube.com/watch?v=A-eweSyIoH0","finaro tiene la palabra lo han aludido Muchísimas gracias señor presidente voy a aprovechar la alusión que hizo el diputado Valdés para dar una breve explicación Este primer lugar Usted sabe que desde el mismo momento que asumí como diputado nacional hay una diputada en este recinto que tiene una fijación Conmigo quiere constantemente digamos es mi Pos decir por no he hablado no he hablado no he hablado porque me sentí yo los escucho a todos silencio por favor nunca interrumpo a nadie les pido por favor que hagan lo mismo yo no he hablado porque me siento parte de un bloque orgánicamente y quienes hablaron me representan porque no importa quien hable en un bloque sino la posición que se sostenga En tercer lugar no ha porque no necesito de la estridencia de este micrófono para hablar porque junto con el presidente de mi bloque y la secretaria parlamentaria y otros diputados hablando con el gobierno conseguimos que se incluya la garantía salarial para los docentes que menos ganan y para los no docentes Y eso es plata y eso es trabajar fuera de lacia beneficiar al otro Eso es trabajar para beneficiar al otro En tercer lugar sabe qué señor presidente acá no estamos discutiendo como ya se dijo un modelo de universidad acá estamos discutiendo una paritaria la paritaria no se cierra en el congreso porque falta que venga mollano a decirnos que no cierra la paritaria camionero y nosotros tengamos que ponerle el precio Pero además Y por último señor presidente Para no alargar más esta intervención vamos a ser sinceros no seamos hipócritas acá no estamos hablando de las universidades hace 27 años que educo en las universidades he educado a miles de alumnos sin adoctrinarlos y dándole la oportunidad de tener criterio propio acá estamos hablando con el bloque de Unión por la patria traducido el kissnerismo y no hablo de los otros bloques de una disputa de poder acá estamos hablando de el mensaje que este recinto va a mandar a los mercados internacionales a los inversores que tanto necesitamos y a las consultoras de riesgo de eso estamos hablando y le voy a decir una cosa señor presidente aún con los matices que yo tengo con este gobierno si en una disputa de poder yo tengo que elegir silencio por favor ha sido aludido votar con el populismo que ha dejado el efecto devastador de una guerra en la República Argentina o un gobierno que me habla de prosperidad de libertad y de hacer grande Argentina de vuelta señor presidente yo me corto la mano antes de votar con el quisis Muchas gracias gracias diputado finaro"
"7","AmKQWyB5qwg","Tavela, Danya","UCR","youtube.com/watch?v=AmKQWyB5qwg","[Aplausos] tiene la palabra a continuación la diputada Dania tabela Muchas gracias señor presidente hoy vamos a tener una vez más la posibilidad de ver el principio de revelación vamos a poder ver quiénes quieren a la Argentina y quies la odian quies quieren que la argentinaa siendo país de muchos y quienes quieren que sea un país para pocos durante estas últimas dos semanas para justificar una decisión política que como decía el diputado propin es un enorme error para su gobierno presidente construyeron una nueva ley bases la ley base de las mentiras y las falacias los alumnos no existen Sí existen tienen nombre apellido las universidades no se auditan sí se auditan lo hace la agn y además trabajan con la sindicatura general de la nación no sabemos Quiénes son los que Ejecutan el presupuesto sí lo tienen en el Ministerio de capital humano una tras otra una campaña absoluta de desprestigio de mentiras y de búsqueda de pérdida de valor y no lo han logrado no lo han logrado porque hubo una marcha multitudinaria hace una semana Pero además que estuvo en todas las ciudades del país representando ese sentir argentino por la universidad pública dicen que esta ley es ilegal Bueno si van a la justicia se van a encontrar con un problema lo explicaba lo explicaba el diputado bruje que todos los decretos que sacaron este año porque ustedes acordaron con el gobierno anterior no tener presupuesto para el 2024 también van a ser ilegales entonces realmente vamos a estar ante un problema que es un problema de paritarias No tampoco es un problema de paritarias no es un problema de paritarias que es un problema de déficit fiscal tampoco es déficit fiscal van a gastar más de lo que la ley cuesta finalmente en resolver este conflicto se están haciendo daño pero se están haciendo daño Además porque no va a haber una sola inversión en la Argentina si no hay calidad institucional respeto por las instituciones democráticas y posibilidades de que hayan personas jóvenes trabajadores formados que puedan hacer competitivos los mercados argentinos y usted lo sabe señor presidente porque es un emprendedor y conoce del tema se están haciendo daño y la verdad es que parece increíble que por Un capricho y por dar una batalla cultural falsa estén generando este conflicto mire señor presidente la universidad es progreso y y claramente así lo reconoce la sociedad la universidad es cultura la universidad es ciencia la universidad es igualdad la universidad es libertad a ver cuándo entendemos estas cuestiones dijeron que se adoctrinan 24 denuncias tienen de adoctrinamiento la mayoría son en universidades privadas digo una mentira tras otra yo le quiero hablar a los diputados y diputadas que hoy van a votar a favor del veto presidencial y les quiero pedir que no sean Cómplices no sean Cómplices de los errores y de la mala fe de este gobierno no sean Cómplices de que este gobierno también le vaya mal y sigamos acumulando derrotas y desesperanzas en la Argentina no sean Cómplices de la destrucción Argentina no sean Cómplices de destruir los sueños hicieron campaña diciendo que íbamos a hacer que nuestros hijos y nuestros nietos no se fueran del país y hoy están haciendo todo lo posible para que esos chicos y chicas sean y para que los mejores científicos y docentes también lo hagan diputados diputadas son hijos de la universidad pública no se transformen hoy en casta en la casta que quiere sostener su privilegios embromo a las generaciones que siguen no se condenen y no condenen a los jóvenes al fracaso y a irse del país yo no vengo a votar en contra de nada voy a votar por futuro de los argentinos y las argentinas e invito a todos los diputados y diputados de esta cámara que hagamos lo mismo votemos por el futuro y no por el pasado muchas gracias muchas gracias diputada tabela"
"8","C9fZp2i4gjI","Castillo, Christian","FIT","youtube.com/watch?v=C9fZp2i4gjI","diputado Castillo tiene la palabra para su cuestión de privilegio Sí señor presidente mi cuestión de privilegio es contra el ministro de salud lugones por el ataque que está teniendo en primer lugar hacia el hospital garrajan Al cual están vienen Def financiando incluso quitó a todo el directorio por el hecho de haber dado un Bono para los trabajadores y trabajadoras esto es una barbaridad es un hospital de pediatría nacional de Gran relevancia y no puede ser que le estén pagando salarios de hambre a los médicos a las médicas a las enfermeras a todas las trabajadoras y trabajadores y en el mismo sentido va el reclamo por lo que ha hecho en el hospital Nacional de Salud Mental Laura Bonaparte que quiso cerrar Aunque ahora diga que no y tuvieron que retroceder por la fuerza de sus trabajadoras y trabajadores que en Asamblea Se reunieron tomaron el hospital mostraron con la acción directa lo que hay que hacer para enfrentar a este gobierno reclamando la solidaridad de la población que enseguida llegó estudiante de psicología de trabajo social Frente a un hospital que atiende la demanda de una de las grandes pandemias contemporáneas que estamos sufriendo que es las que tienen que ver con la Salud Mental entonces señor presidente creo que es muy grave digo la política que se está impulsando desde ese ministerio creo que es insostenible y bueno y reafirmar nuestro compromiso y apoyo a las luchas de todo el sector de la salud pública ayer se movilizaron más de 5000 por la ciudad de Buenos Aires con los reclamos de los residentes Así que es uno de los puntos que está atacando este gobierno que ataca jubilados y jubiladas que ataca a la universidad pública que ataca a la salud pública favorece los negocios de sus empresarios amigos los especuladores amigos de caputo que están ganando como nunca mientras manda un presupuesto para que lo único que se garantice sea el pago de la deuda al fmi a los banqueros mientras al pueblo trabajador le dejan Migajas nada más señor presidente Gracias diputado Castillo su cuestión de privilegio será girada la comisión de asuntos constitucionales para su posterior consideración"
"9","CvCyT3OgVnU","Lemoine, Lilia","LLA","youtube.com/watch?v=CvCyT3OgVnU","juliano a continuación la diputada Lilia demine para una cuestión de privilegio y después la diputada Araujo es la última que tengo anotada en el día de hoy Muchas gracias señor presidente esta cuestión de privilegio la pido para dejar bien en claro que todas estas manifestaciones que está organizando la izquierda son para perjudicar al gobierno tienen un tinte político ellos mismos lo han declarado desde un principio de este gobierno que no haya un día en que el gobierno no tenga que preocuparse por una manifestación un paro pero si solamente fueran manifestaciones estamos en democracia está bien el problema es la violencia con la que Ejecutan estas manifestaciones la semana pasada el C el día 5 uno de nuestros diputados el diputado santurio junto con diputados provinciales de la libertad avanza fueron a la universidad de la plata a una charla una reunión a la cual no se les permitió asistir porque los mismos estudiantes tenían y profesores tenían tomada la universidad con candados pero no conformes con eso de tomar un espacio público del cual no son dueños también agredieron físicamente a los diputados resultando el diputado santurio con una herida punzante en la cabeza resultado de un piedrazo en este mismo momento en las afueras de este congreso un influencer Fran fap muchos lo conocen a quien dicen que es un ador porque se atreve a entrar en una manifestación a hacer preguntas lo tienen encerrado en un local y lo golpearon sin la intervención de la policía no sabemos Qué consecuencias hubiera habido entonces quisiera por favor dejar de manifiesto que la libertad avanza que el gobierno no está en contra ni de la educación pública ni de las manifestaciones públicas estamos en contra de la violencia que es la que ejercen porque no aceptan que no gobiernan muchas gracias señor presidente Gracias diputada"
"10","DE2a_igBTeQ","Schlotthauer, Mónica","FIT","youtube.com/watch?v=DE2a_igBTeQ","[Aplausos] tiene la palabra la diputada Leticia schauer Buenos días señor presidente señoras diputadas diputados bueno en primer lugar desde el frente de izquierda desde la izquierda socialista ratificar lo que presentamos en nuestro proyecto de rechazo al veto presidencial lamentamos estar nuevamente discutiendo un veto a leyes que tratan de resolver mínimamente la demanda nos pasó con los jubilados ahora se pas pasando con la educación en una situación que además todos estos todos estos meses vemos que se aumenta no solo en la problemática sino en la fundamentación de Por qué tenemos que defender nuestras universidades nuestra salud nuestros jubilados etcétera estamos en una situación grave si los docentes universitarios nos dicen que no pueden seguir trabajando porque sus salarios bajaron entre el 60 y el 85 por porque sin docentes no ten universidades y la realidad que hasta en el instituto balteiro están denunciando este año 45 de los profesores tuvieron que retirarse y cada vez que perdemos un profesor perdemos años de acumulación de conocimiento son nuestras universidades la producción de conocimiento y por eso han sido orgullo para toda la nación estamos hablando de un momento en que además está claro el 85 de la población defiende la universidad pública como una palanca para poder progresar En lo individual pero también para poder progresar en lo colectivo y en lo nacional cuando el gobierno dice que quiere arancelar que quiere vetar no estamos hablando solamente de un problema de financiamiento porque si quisiera discutir eso discutiría eso lo que están discutiendo es que quieren dejar a la mayoría de la población fuera de la posibilidad de crecer que solo tengan estudios los que puedan pagar el el la universidad privada el secundario privado y la primaria privada Pero además estamos discutiendo que se subordinan nuestras universidades al mandato del Banco Mundial que significa tener universidades solamente para técnicos solamente para las carreras que le interese y terminar con la soberanía sobre nuestro conocimiento y nuestro pensamiento como única herramienta de poder además construir un país independiente de todos los que nos están saqueando defender emos lo mismo que están defendiendo los docentes lo que manifestaron en todo el país aún ahí donde no había universidades Se juntaron vecinos y trabajadores desde Jujuy hasta tierra del fuego un país está diciendo no al veto Y eso tiene que pensarlo cada uno de los diputados que por un lado le ponen la billetera pero por el otro lado tienen que volver a sus a sus provincias a explicarle esa juventud que hoy está tomando las universidades Por qué no acompañan el reclamo entonces decir que sí se puede mantener las universidades que sí hay plata para financiar no solo el salario de los docentes sino también la necesidad de los estudiantes el 46 por de los pibes y jóvenes que van a las universidades también están en la pobreza y necesitan que le actualicen el boleto donde no lo tienen necesitan que se cree necesitan que actualicen las becas cuando acá se sigan queriendo recortar así que nosotros denunciar no solo el gobierno sino también a todos los Cómplices que hoy pretendan acompañar Esto del Pro lo tenemos Claro porque el proi ha Def financiado sistemáticamente sistemáticamente todos los niveles de la educación y no solo achicando los presupuestos sino de esa torta cada vez más chica llevando cada vez más a los a las arcas de la escuela y los mercaderes de la educación privada Pero además también a todos los que hacen campaña y en eso voy a todos los gobernadores peronistas que hacen campañas sobre sus poblaciones diciendo de que quieren defender la salud la educación pública pero después cuando gobernaron jamás respetaron la ley de financiamiento educativo hay plata y van a seguir recortando todos nuestros derechos si no dejamos de pagar al fondo monetario la estafa de la deuda externa defendamos las universidades defendamos a todos esos profesionales que son además los que hoy son ejemplos en la defensa de las salud pública en el Bonaparte y en todos los hospitales como el garra en el posadas y todos los que luchan esos profesionales que defienden el derecho a la salud de la población y su salario son los que salieron de nuestra Educación Pública viva la lucha de las universidades Muchas gracias diputada"
